,w,thetav
383,0.84225,293.89304045656576
384,0.83925,293.8239264756542
385,0.8190001,293.87056668643754
386,0.70175,293.9655397785311
387,0.7845001,293.90587835965175
388,0.80475,294.01606985195286
389,0.804,294.038079887738
390,0.75625,294.0289725171543
391,0.9227501,294.0824967385018
392,0.88025,294.07959110288857
393,0.76775,294.0558108500367
394,0.7415,294.0005079420027
395,0.73375,294.0479899819691
396,0.85675,294.08866830341776
397,0.7090001,294.1049709971891
398,0.696,294.03930211064346
399,0.7035,294.0467267829597
400,0.733,294.053640220413
401,0.7,294.041597787327
402,0.64275,294.004330918435
403,0.62525,294.1521312120955
404,0.63625,294.04235179578615
405,0.6485,294.0437366027359
406,0.56625,294.0531190891015
407,0.69775,294.0678850973375
408,0.6675,294.0593291062181
409,0.6407501,294.0427894956122
410,0.617,294.07733704027316
411,0.6505001,294.0824967385018
412,0.69475,294.1024863820433
413,0.7402501,294.0018302267553
414,0.7215,294.0337055892981
415,0.77925,293.99840409845996
416,0.7507501,294.038079887738
417,0.7492501,294.0635200618152
418,0.6925001000000001,294.09805740944415
419,0.7055,294.081764363027
420,0.716,294.02083708134654
421,0.59125,294.0323987199306
422,0.47325,294.03543890899505
423,0.5642501,294.03639741402145
424,0.61825,294.0139338407037
425,0.62275,294.10548080450184
426,0.6440001000000001,294.11707487425895
427,0.5875,294.10028043119627
428,0.57675,294.01344243730813
429,0.6195,294.0419927714112
430,0.586,293.98284376578493
431,0.6175,294.03685305803316
432,0.59075,293.996660443881
433,0.586,294.0600326768465
434,0.63975,294.01047712197703
435,0.57475,294.0359166959955
436,0.61825,294.0030516616265
437,0.7735,294.0070509936817
438,0.72575,293.98233129245557
439,0.70825,294.0479899819691
440,0.65525,294.09857756385895
441,0.60575,294.03119704071594
442,0.57225,293.9978817663658
443,0.5465,294.0156469048514
444,0.5720000000000001,294.02991852411037
445,0.65575,294.0938386103278
446,0.606,294.1300919457623
447,0.63375,294.00011716260764
448,0.5735,294.0212911480829
449,0.64125,294.0454498405286
450,0.7020000000000001,294.0449831283808
451,0.7287501000000001,294.0437366027359
452,0.6925001000000001,294.02600686422085
453,0.743,294.03639741402145
454,0.68125,294.06271479042744
455,0.72825,294.03465375944256
456,0.6465001,294.0475211668822
457,0.6720001,294.00873346739814
458,0.5617501,293.97935645662716
459,0.581,294.1723427880909
460,0.6655,294.0558108500367
461,0.62725,294.0968950901425
462,0.6895,294.2044138328638
463,0.6695001,294.0968950901425
464,0.68225,294.1262415104823
465,0.626,294.13089185271696
466,0.6405,294.10075274856257
467,0.5825,294.09857756385895
468,0.56325,294.0847608857629
469,0.57725,294.08379852853824
470,0.67725,294.10896811365967
